domain,available,price,renewal_price
qd.com,True,6000000.00,15.88
qn.com,True,2500000.00,15.88
qd.com,True,6000000.00,15.88
qd.com,True,6000000.00,15.88
qn.com,True,2500000.00,15.88
qt.com,True,2800000.00,15.88
dd.com,True,50000000.00,15.88
di.com,True,3000000.00,15.88
xb.com,True,21000000.00,15.88
xh.com,True,15000000.00,15.88
xp.com,True,3500000.00,15.88
bz.com,True,4000000.00,15.88
hn.com,True,15000000.00,15.88
vn.com,True,1000000.00,15.88
vv.com,True,8500000.00,15.88
vz.com,True,12000000.00,15.88
zv.com,True,15000000.00,15.88
zg.com,True,2500000.00,15.88
zl.com,True,18888888.00,15.88
zo.com,True,12000000.00,15.88
yb.com,True,5000000.00,15.88
yz.com,True,18888888.00,15.88
yo.com,True,12000000.00,15.88
sh.com,True,18000000.00,15.88
sz.com,True,5000000.00,15.88
su.com,True,15000000.00,15.88
ee.com,True,50000000.00,15.88
fn.com,True,4000000.00,15.88
fe.com,True,12000000.00,15.88
gx.com,True,3000000.00,15.88
gj.com,True,3000000.00,15.88
ie.com,True,2500000.00,15.88
jn.com,True,3500000.00,15.88
jb.com,True,6000000.00,15.88
jl.com,True,5500000.00,15.88
jp.com,True,8000000.00,15.88
kf.com,True,1500000.00,15.88
kg.com,True,15000000.00,15.88
kr.com,True,8000000.00,15.88
lp.com,True,6000000.00,15.88
oe.com,True,3000000.00,15.88
pt.com,True,10000000.00,15.88
rz.com,True,3000000.00,15.88
tb.com,True,12000000.00,15.88
ws.com,True,8000000.00,15.88
wt.com,True,12000000.00,15.88
